对话ID,用户ID,问题,答案长度,总引用数,已验证,未验证,准确率,未验证的引用1,未验证的引用2,未验证的引用3
106,2,租房合同应该注意什么？,2195,12,11,1,91.7%,《电子签名法》,,
105,2,不小心杀人怎么办,2489,19,19,0,100.0%,,,
104,2,交通事故责任如何认定？,2784,18,18,0,100.0%,,,
103,2,根据上传的法律文件内容，怎么处理,2533,16,16,0,100.0%,,,
102,2,劳动合同解除有哪些情形？,1874,17,17,0,100.0%,,,
99,2,不小心杀人怎么办,2507,18,18,0,100.0%,,,
96,2,交通事故责任如何认定？,1756,12,12,0,100.0%,,,
93,2,交通事故责任如何认定？,1937,6,6,0,100.0%,,,
90,2,租房合同应该注意什么？,1692,8,8,0,100.0%,,,
88,2,民间借贷的诉讼时效是多久？,679,8,8,0,100.0%,,,
87,2,不小心杀人怎么办,1864,8,6,2,75.0%,（涉嫌妨害作证罪，刑法第307条）,（刑法第72条）,
86,2,租房合同应该注意什么？,2296,18,18,0,100.0%,,,
84,2,不小心杀人怎么办,2304,14,14,0,100.0%,,,
83,2,不小心杀人怎么办,3030,22,22,0,100.0%,,,
82,2,根据上传的法律文件内容，怎么处理、,2885,3,3,0,100.0%,,,
82,2,根据上传的法律文件内容，怎么处理、,2464,5,5,0,100.0%,,,
81,2,劳动合同解除有哪些情形？,1857,16,16,0,100.0%,,,
79,2,租房合同应该注意什么？,1842,21,21,0,100.0%,,,
78,2,劳动合同解除有哪些情形？,2150,26,26,0,100.0%,,,
74,2,租房合同应该注意什么？,2020,11,10,1,90.9%,《电子签名法》,,
68,2,租房合同应该注意什么？,1939,11,11,0,100.0%,,,
67,2,根据上传的法律文件内容，我该怎么办,1563,4,4,0,100.0%,,,
67,2,根据上传的法律文件内容，我该怎么办,3184,12,6,6,50.0%,《刑法》第17条,《刑事诉讼法》第290条,《刑法》第18条
67,2,根据上传的法律文件内容，我该怎么办,2046,8,7,1,87.5%,《刑事诉讼法》第290条,,
66,2,根据上传的法律文件内容，我该怎么办,1563,5,5,0,100.0%,,,
66,2,根据上传的法律文件内容，我该怎么办,2935,21,21,0,100.0%,,,
66,2,根据上传的法律文件内容，我该怎么办,2097,17,16,1,94.1%,《道路交通安全法》,,
63,2,故意杀人怎么办,2473,3,3,0,100.0%,,,
62,2,不小心杀人怎么办,2004,5,5,0,100.0%,,,
61,2,根据上传的法律文件内容，我不是故意的 怎么办,1821,4,4,0,100.0%,,,
60,2,租房合同应该注意什么？,1608,9,8,1,88.9%,《电子签名法》,,
58,2,根据上传的法律文件内容，怎么办,1248,8,8,0,100.0%,,,
58,2,根据上传的法律文件内容，怎么办,2107,14,14,0,100.0%,,,
58,2,根据上传的法律文件内容，怎么办,1418,8,7,1,87.5%,《刑事诉讼法》,,
57,2,不小心杀人怎么办,1848,4,3,1,75.0%,《法律援助法》,,
56,2,租房合同应该注意什么？,2400,18,17,1,94.4%,《民事诉讼法》,,
52,2,交通事故责任如何认定？,2793,24,23,1,95.8%,《刑法》,,
51,2,租房合同应该注意什么？,1889,17,16,1,94.1%,《电子签名法》,,
50,2,军事网络的安全保护由谁规定,431,6,6,0,100.0%,,,
49,2,军事网络的安全保护由谁规定,534,4,2,2,50.0%,《中华人民共和国网络安全法》,《中华人民共和国网络安全法》,
48,2,军事网络的安全保护由谁规定,588,9,5,4,55.6%,《中华人民共和国网络安全法》,《中华人民共和国数据安全法》,《中华人民共和国核安全法》
47,2,军事网络的安全保护由谁规定,470,6,3,3,50.0%,《中华人民共和国网络安全法》,《中华人民共和国数据安全法》,《中华人民共和国核安全法》
46,2,问题：赵某为某市小学教师。在执教期间，曾有学生家长于2019年1月以赵某非礼其女儿为由向学校举报，赵,2421,21,20,1,95.2%,《性侵意见》第25条,,
45,2,民法典第第一千二百一十七条是什么,620,2,2,0,100.0%,,,
44,2,不小心把人撞死了需要承担什么法律责任？,2226,15,5,10,33.3%,《刑法》第133条,《刑法》第232条,《民法典》第1179条
43,2,不小心杀人怎么办,2273,15,15,0,100.0%,,,
42,2,根据上传的法律文件内容，怎么办,1938,21,21,0,100.0%,,,
39,2,根据上传的法律文件内容，怎么办,3345,30,30,0,100.0%,,,
39,2,根据上传的法律文件内容，怎么办,2207,20,20,0,100.0%,,,
38,2,根据上传的法律文件内容，如何处理,2397,4,4,0,100.0%,,,
38,2,根据上传的法律文件内容，如何处理,2167,11,10,1,90.9%,《刑事诉讼法》,,
37,2,根据上传的法律文件内容，怎么办,1869,18,18,0,100.0%,,,
36,2,根据上传的法律文件内容，如何处理,2937,9,9,0,100.0%,,,
36,2,根据上传的法律文件内容，如何处理,2003,10,9,1,90.0%,《刑事诉讼法》,,
